Year,ID,Comment
2011,"371 *entry retracted as requested","retraction"
2011,"125 *proposal is similar/ identical to #50","duplicate of 2011-50"o
2012,189,"duplicate of 180"
2012,222,"duplicate of 320"
2012,178,"duplicate of 293"
2012,82,"duplicate of 115"
2012,109,"duplicate of 271"
2012,95,"duplicate of 148"
2012,287,"duplicate of 270"
2014,199,"duplicate of 2014-200"
2014,201,"duplicate of 2014-200"
2014,202,"duplicate of 2014-200"
2014,203,"duplicate of 2014-200"
2015,119,"impact is in US"
